region_id,date,median_sale_price,price_per_sqft,median_rent,days_on_market,inventory,months_of_supply,price_cut_share,list_to_sale_ratio,rent_to_price,gross_rent_multiplier,est_cap_rate,homes_sold,new_listings,sold_above_list
12060,2012-01-01,85000.0,44.747481009,,77.0,42201.0,8.2,0.2171986446,0.9539556607,,,,5172.0,10190.0,0.2126836814
12060,2012-02-01,84900.0,45.34695024,,82.0,41100.0,6.9,0.1939902676,0.953886982,,,,5914.0,10314.0,0.2086574231
12060,2012-03-01,99954.605433079,50.675328802,,71.697554204,43003.297405498,6.420595646,0.2134210358,0.9604157851,,,,7047.154459386,10326.718832783,0.2237908562
12060,2012-04-01,105000.0,52.758132956,,65.0,41489.0,6.0,0.1767456434,0.9660798524,,,,6930.0,11760.0,0.2391053391
12060,2012-05-01,100344.830391013,51.805537302,,74.655842253,40428.899725545,6.302275718,0.211815332,0.964702479,,,,6578.717196507,9203.672411227,0.2302572606
12060,2012-06-01,115000.0,57.111467673,,59.0,39677.0,4.8,0.2227486957,0.972925185,,,,8231.0,10496.0,0.2562264609
12060,2012-07-01,117900.0,57.579452542,,61.0,38146.0,5.0,0.2618623185,0.9738816701,,,,7555.0,9734.0,0.2660489742
12060,2012-08-01,111408.078980344,55.129990292,,71.467207945,33999.9607012,4.954304359,0.2483691567,0.9740160249,,,,6818.002037538,8824.265826816,0.2607023015
12060,2012-09-01,116302.33387257,57.066223715,,65.588519341,32806.940307502,4.806462258,0.2591452718,0.9723483076,,,,6959.260773871,9007.752815277,0.2605771472
12060,2012-10-01,111000.0,56.617999865,,63.0,33774.0,4.8,0.2521762302,0.9756068736,,,,6997.0,9180.0,0.250535944
12060,2012-11-01,125671.957849801,61.165235015,,61.040064808,31371.674518995,4.394521213,0.2159511604,0.9782062795,,,,7155.776598016,9372.981499419,0.2569598602
12060,2012-12-01,127500.0,61.571205815,,63.0,29313.0,4.7,0.1789649644,0.976941564,,,,6277.0,6107.0,0.2601561255
12060,2013-01-01,117000.0,58.932966681,,65.0,29410.0,5.7,0.4731723903,0.973958604,,,,5195.0,9394.0,0.2671799808
12060,2013-02-01,127000.0,63.01163923,,63.0,28747.0,5.1,0.2443037534,0.9806429132,,,,5652.0,9372.0,0.2756546355
12060,2013-03-01,142000.0,68.644442635,,54.0,29915.0,4.3,0.262343306,0.9817454165,,,,7019.0,11486.0,0.2702664197
12060,2013-04-01,146435.399759633,70.37138438,,49.416502991,31434.833021522,4.812688206,0.2847901301,0.9790214581,,,,6780.668130994,9884.723054819,0.2529478097
12060,2013-05-01,160000.0,74.636174636,,39.0,31923.0,3.8,0.3023838612,0.9823113295,,,,8506.0,12009.0,0.264636727
12060,2013-06-01,167900.0,77.534791252,,40.0,33492.0,4.2,0.2933237788,0.9828742152,,,,8002.0,11784.0,0.2585603599
12060,2013-07-01,170000.0,79.369538077,,40.0,34382.0,4.2,0.3208073992,0.9820934892,,,,8280.0,11753.0,0.247705314
12060,2013-08-01,163310.500407652,77.050753974,,46.663645526,32611.394247026,4.559165541,0.3053177362,0.9793277593,,,,7038.151386133,10210.650487902,0.2409289462
12060,2013-09-01,159000.0,76.787133772,,43.0,35070.0,5.2,0.3051040776,0.9780025826,,,,6787.0,10137.0,0.2298511861
12060,2013-10-01,155500.0,75.910821529,,46.0,35105.0,5.1,0.4170346105,0.9744015172,,,,6884.0,10653.0,0.2235618826
12060,2013-11-01,158951.958268346,77.257843881,,45.883024839,34344.326343469,5.005058274,0.4118032961,0.974208631,,,,6970.43041462,11202.075883613,0.23114286
12060,2013-12-01,162943.328648958,78.622114582,,46.231902202,34155.539883061,5.061204646,0.3688524255,0.9737697281,,,,6984.971630671,11018.658085568,0.2220549306
12060,2014-01-01,153450.0,75.287765021,,58.0,31371.0,6.4,0.27149278,0.9699639852,,,,4903.0,9231.0,0.1998776259
12060,2014-02-01,155000.0,75.668136172,,62.0,32030.0,5.9,0.2532625663,0.9700297983,,,,5414.0,9487.0,0.2137052087
12060,2014-03-01,167614.025945606,80.408021168,,50.180342066,35084.619014292,5.580864351,0.3321877405,0.9705583962,,,,6746.646532811,11288.165087576,0.1991708877
12060,2014-04-01,166479.171693394,80.498056042,,47.410510182,34959.518010131,5.174799238,0.3321150626,0.9691756583,,,,7021.21632521,11566.408531463,0.1885152336
